Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,mintemp,maxtemp,avgtemp
2015-08-03,978.0,983.75,971.5,977.5,3.25,977.5,3327.0,7202.0,65.27196652719665,88.76359832635983,76.86401673640168
2015-07-31,993.0,995.25,979.0,979.0,9.5,980.75,7609.0,10949.0,66.35564853556485,89.52301255230125,77.49372384937239
2015-07-30,982.0,1002.25,982.0,993.0,7.25,990.25,22935.0,18305.0,67.92050209205021,90.65690376569037,78.81380753138075
2015-07-29,976.75,988.75,971.75,983.0,8.25,983.0,24877.0,23874.0,69.09014675052411,90.92243186582809,79.23270440251572
2015-07-28,963.0,976.75,962.75,975.25,13.5,974.75,22679.0,28662.0,69.76519916142557,91.15723270440252,79.85534591194968
2015-07-27,988.0,988.25,959.75,960.5,30.0,961.25,26490.0,35233.0,69.71488469601677,92.03144654088051,80.24318658280923
2015-07-24,1010.5,1011.25,988.75,990.75,18.75,991.25,37448.0,53520.0,68.12605042016807,89.93067226890756,78.31932773109244
2015-07-23,1021.25,1029.0,1004.25,1010.0,10.75,1010.0,37712.0,63475.0,68.19077568134172,89.44444444444444,77.94339622641509
2015-07-22,1018.75,1027.5,1011.5,1023.0,2.0,1020.75,38583.0,68738.0,67.04621848739495,88.76890756302521,77.26470588235294
2015-07-21,1011.0,1020.0,1008.25,1017.75,11.0,1018.75,26536.0,69292.0,67.85324947589099,88.17819706498952,77.62054507337527
2015-07-20,1012.0,1012.75,998.25,1008.0,7.0,1007.75,20428.0,73938.0,68.88912133891213,89.92887029288703,78.98326359832636
2015-07-17,1016.5,1021.25,1007.5,1014.5,4.25,1014.75,17509.0,75991.0,68.53668763102725,89.93920335429769,78.55345911949685
2015-07-16,1027.25,1038.25,1015.25,1016.5,6.0,1019.0,20526.0,77773.0,66.7112970711297,87.65062761506276,76.57322175732217
2015-07-15,1030.0,1035.0,1014.25,1024.75,8.5,1025.0,25160.0,80119.0,67.34518828451883,86.99372384937239,76.77615062761507
